Scenario,Dose_mg_per_day,recovery_half_life_days_H,alpha_per_day,beta_fitted,TT21_target,TT21_check
24h_half_life (r=0.5),0.1,5.0,0.12944943670387588,0.1638517671170262,506.0,505.99999999999994
24h_half_life (r=0.5),0.1,7.0,0.09427633573609329,0.12961848432678957,506.0,506.0
24h_half_life (r=0.5),0.1,10.0,0.06696700846319259,0.10564532647289751,506.0,505.99999999999994
24h_half_life (r=0.5),0.1,14.0,0.04830484698938042,0.09079567534939317,506.0,506.0000000000001
24h_half_life (r=0.5),0.1,20.0,0.0340636710751544,0.08036700088609561,506.0,505.99999999999994
24h_half_life (r=0.5),0.3,5.0,0.12944943670387588,0.12112864322447571,436.0,435.99999999999994
24h_half_life (r=0.5),0.3,7.0,0.09427633573609329,0.0956079134374219,436.0,435.99999999999994
24h_half_life (r=0.5),0.3,10.0,0.06696700846319259,0.07774031570708127,436.0,435.99999999999994
24h_half_life (r=0.5),0.3,14.0,0.04830484698938042,0.0666813571255472,436.0,435.99999999999983
24h_half_life (r=0.5),0.3,20.0,0.0340636710751544,0.05892220467918059,436.0,436.0
24h_half_life (r=0.5),1.0,5.0,0.12944943670387588,0.1438564102766648,340.0,340.0
24h_half_life (r=0.5),1.0,7.0,0.09427633573609329,0.11338427402330117,340.0,340.0000000000001
24h_half_life (r=0.5),1.0,10.0,0.06696700846319259,0.09205337573828762,340.0,340.0
24h_half_life (r=0.5),1.0,14.0,0.04830484698938042,0.07885765847378785,340.0,340.00000000000017
24h_half_life (r=0.5),1.0,20.0,0.0340636710751544,0.0696050809013476,340.0,340.0000000000001
36h_half_life (r=0.63),0.1,5.0,0.12944943670387588,0.16506959666985974,506.0,505.9999999999999
36h_half_life (r=0.63),0.1,7.0,0.09427633573609329,0.13109848138539706,506.0,506.0
36h_half_life (r=0.63),0.1,10.0,0.06696700846319259,0.1072797359984482,506.0,505.99999999999994
36h_half_life (r=0.63),0.1,14.0,0.04830484698938042,0.09249747866129471,506.0,506.00000000000006
36h_half_life (r=0.63),0.1,20.0,0.0340636710751544,0.08209575177198788,506.0,506.00000000000017
36h_half_life (r=0.63),0.3,5.0,0.12944943670387588,0.12165397844366195,436.0,436.00000000000006
36h_half_life (r=0.63),0.3,7.0,0.09427633573609329,0.09625442990538877,436.0,435.9999999999999
36h_half_life (r=0.63),0.3,10.0,0.06696700846319259,0.07845934064043981,436.0,436.0000000000001
36h_half_life (r=0.63),0.3,14.0,0.04830484698938042,0.06743260171491736,436.0,435.99999999999994
36h_half_life (r=0.63),0.3,20.0,0.0340636710751544,0.05968677231917641,436.0,436.0000000000001
36h_half_life (r=0.63),1.0,5.0,0.12944943670387588,0.14418201459283622,340.0,339.99999999999994
36h_half_life (r=0.63),1.0,7.0,0.09427633573609329,0.1137884144107778,340.0,340.0
36h_half_life (r=0.63),1.0,10.0,0.06696700846319259,0.09250494492919074,340.0,340.0000000000001
36h_half_life (r=0.63),1.0,14.0,0.04830484698938042,0.07933050511304501,340.0,339.99999999999994
36h_half_life (r=0.63),1.0,20.0,0.0340636710751544,0.07008687222312553,340.0,339.99999999999994
