case_id,y_obs,suppression_pct,duration_days,dose_mg_per_day,n_pd_valid,AUC_t_p05,AUC_t_p50,AUC_t_p95,AUC21eq_24h_half_life_r0p5_p05,AUC21eq_24h_half_life_r0p5_p50,AUC21eq_24h_half_life_r0p5_p95,AUC21eq_36h_half_life_r0p63_p05,AUC21eq_36h_half_life_r0p63_p50,AUC21eq_36h_half_life_r0p63_p95,implied_exposure_class_24h
1,0.6465557096625059,64.6555709662506,14.0,3.0,23,1013.2435133784201,3989.9514205594837,22421.929928690548,1013.3048774477865,3990.1930600592755,22423.287845958515,1014.7560401530468,3995.9074501549107,22455.400431001362,above_clinical_1.0mg
2,0.6066252587991718,60.66252587991718,42.0,10.0,108,864.4576139648209,2762.118710256591,76435.12710663062,864.4572017595054,2762.1173931763824,76435.0906595392,864.4047854135578,2761.9499122409075,76430.45601927431,above_clinical_1.0mg
3,0.726078799249531,72.6078799249531,70.0,10.0,0,,,,,,,,,,no_solution_under_PD_draws
4,0.5913426265590609,59.13426265590609,70.0,10.0,209,752.2486907966787,2577.5621416486033,57830.13073237366,752.2483320965507,2577.5609125711967,57830.10315681846,752.2027167238958,2577.404612588131,57826.59641364122,above_clinical_1.0mg
5,0.5299600532623169,52.99600532623169,4.0,3.0,1475,454.9411750768385,1244.9650808036931,12729.864429603014,485.2703553535802,1327.9621196352875,13578.515583499346,539.975501226353,1477.6649825172226,15109.238957668404,above_clinical_1.0mg
6,0.6108108108108108,61.08108108108108,35.0,5.0,86,900.7889315269385,2483.7593590190336,25078.78776645135,900.7885020235207,2483.758174742566,25078.77580868335,900.7339647509127,2483.6077982708816,25077.257441131056,above_clinical_1.0mg
7,0.76,76.0,70.0,10.0,0,,,,,,,,,,no_solution_under_PD_draws
8,0.8446508427932576,84.46508427932577,175.0,25.0,0,,,,,,,,,,no_solution_under_PD_draws
9,0.9122807017543859,91.22807017543859,49.0,7.0,0,,,,,,,,,,no_solution_under_PD_draws
10,0.521978021978022,52.197802197802204,87.5,12.5,1742,417.21243149417234,1053.7233689610282,9455.84004221416,417.2122325517821,1053.7228665065713,9455.835533318266,417.1869333378725,1053.6589701053606,9455.262143596712,above_clinical_1.0mg
