Day,AUC_0_24_exposure_x,y_emax(x),TT_simulated_ng_dL,Dose_mg_per_day,Scenario,suppression_frac,suppression_pct
0,0.0,0.0,622.0,0.1,24h_half_life (r=0.5),0.0,0.0
1,9.500004529955165,0.0927993989675589,615.9020222181409,0.1,24h_half_life (r=0.5),0.009803822800416515,0.9803822800416515
2,14.250006794932744,0.127589948455102,607.9262722936451,0.1,24h_half_life (r=0.5),0.022626571875168696,2.2626571875168695
3,16.625007927421535,0.1428961966012483,599.4788395935439,0.1,24h_half_life (r=0.5),0.036207653386585444,3.6207653386585443
4,17.81250849366593,0.1500987999613579,591.1238130900668,0.1,24h_half_life (r=0.5),0.04964017188092147,4.964017188092147
5,18.40625877678813,0.1535951316147022,583.0985488935959,0.1,24h_half_life (r=0.5),0.06254252589454039,6.254252589454039
6,18.703133918349227,0.1553179430170287,575.4975042952523,0.1,24h_half_life (r=0.5),0.07476285483078413,7.476285483078413
7,18.85157148912978,0.1561731171070243,568.3492842340873,0.1,24h_half_life (r=0.5),0.08625517004166021,8.62551700416602
8,18.92579027452005,0.1565991593820031,561.6517632548613,0.1,24h_half_life (r=0.5),0.09702288865777928,9.702288865777927
9,18.96289966721519,0.1568117959537666,555.3887825743861,0.1,24h_half_life (r=0.5),0.10709198943024736,10.709198943024736
10,18.98145436356276,0.1569180183006467,549.5382349557568,0.1,24h_half_life (r=0.5),0.1164980145405839,11.64980145405839
11,18.99073171173654,0.156971105514583,544.0759925742369,0.1,24h_half_life (r=0.5),0.12527975470379915,12.527975470379914
12,18.995370385823435,0.1569976431348275,538.9777964005133,0.1,24h_half_life (r=0.5),0.1334762115747375,13.34762115747375
13,18.99768972286688,0.1570109104486627,534.2201393594281,0.1,24h_half_life (r=0.5),0.14112517787873294,14.112517787873294
14,18.998849391388603,0.1570175437315577,529.7806524954186,0.1,24h_half_life (r=0.5),0.14826261656685108,14.826261656685109
15,18.999429225649465,0.1570208602795057,525.6382468508176,0.1,24h_half_life (r=0.5),0.1549224327157273,15.49224327157273
16,18.99971914277989,0.1570225185301056,521.7731367541196,0.1,24h_half_life (r=0.5),0.16113643608662442,16.113643608662443
17,18.99986410134511,0.1570233476495621,518.1668070353838,0.1,24h_half_life (r=0.5),0.16693439383378803,16.693439383378802
18,18.99993658062772,0.1570237622078295,514.8019551882423,0.1,24h_half_life (r=0.5),0.1723441234915718,17.23441234915718
19,18.999972820269026,0.157023969486598,511.6624237826492,0.1,24h_half_life (r=0.5),0.17739160163561218,17.73916016356122
20,18.999990940089678,0.157024073125891,508.7331305929826,0.1,24h_half_life (r=0.5),0.18210107621706978,18.210107621706978
21,19.0,0.1570241249455146,506.0,0.1,24h_half_life (r=0.5),0.1864951768488746,18.64951768488746
0,0.0,0.0,622.0,0.3,24h_half_life (r=0.5),0.0,0.0
1,42.50002026558889,0.2543645343678516,609.7003361335934,0.3,24h_half_life (r=0.5),0.019774379206441487,1.9774379206441488
2,63.75003039838333,0.3053841791038936,595.757315755638,0.3,24h_half_life (r=0.5),0.04219081068225394,4.219081068225394
3,74.37503546478055,0.3239489413916576,581.8503283819811,0.3,24h_half_life (r=0.5),0.06454931128298866,6.454931128298866
4,79.68753799797916,0.3320226021841729,568.4842527094638,0.3,24h_half_life (r=0.5),0.08603817892369162,8.603817892369161
5,82.34378926457848,0.3358021843631318,555.8305034224674,0.3,24h_half_life (r=0.5),0.10638182729506855,10.638182729506855
6,83.67191489787812,0.337632394505334,543.9356390179914,0.3,24h_half_life (r=0.5),0.12550540350805237,12.550540350805237
7,84.33597771452794,0.3385331493587203,532.7937825694855,0.3,24h_half_life (r=0.5),0.14341835599761169,14.341835599761168
8,84.66800912285287,0.3389800046944866,522.3764554602884,0.3,24h_half_life (r=0.5),0.16016647032107972,16.016647032107972
9,84.83402482701531,0.339202559862801,512.6459840451495,0.3,24h_half_life (r=0.5),0.17581031503995262,17.581031503995263
10,84.91703267909655,0.339313620315177,503.56176292159904,0.3,24h_half_life (r=0.5),0.19041517215177003,19.041517215177002
11,84.95853660513716,0.3393690963819532,495.08320239475086,0.3,24h_half_life (r=0.5),0.2040462984007221,20.40462984007221
12,84.97928856815747,0.3393968208908923,487.1710850983474,0.3,24h_half_life (r=0.5),0.21676674421487555,21.676674421487554
13,84.98966454966762,0.3394106797661728,479.78814848923673,0.3,24h_half_life (r=0.5),0.22863641721987663,22.863641721987662
14,84.9948525404227,0.339417608359256,472.8992900300211,0.3,24h_half_life (r=0.5),0.2397117523633101,23.97117523633101
15,84.99744653580024,0.3394210724446884,466.4715903095083,0.3,24h_half_life (r=0.5),0.25004567474355577,25.004567474355575
16,84.998743533489,0.339422804434631,460.4742506611112,0.3,24h_half_life (r=0.5),0.25968769990175045,25.968769990175044
17,84.99939203233339,0.3394236704164095,454.8784930336095,0.3,24h_half_life (r=0.5),0.26868409480127087,26.868409480127088
18,84.99971628175558,0.3394241034040005,449.6574456176184,0.3,24h_half_life (r=0.5),0.27707806170800897,27.707806170800897
19,84.99987840646668,0.3394243198969714,444.7860256597165,0.3,24h_half_life (r=0.5),0.2849099265920957,28.490992659209567
20,84.99995946882223,0.3394244281432508,440.240824889171,0.3,24h_half_life (r=0.5),0.2922173233293071,29.22173233293071
21,85.0,0.339424482266339,436.0,0.3,24h_half_life (r=0.5),0.2990353697749196,29.903536977491964
0,0.0,0.0,622.0,1.0,24h_half_life (r=0.5),0.0,0.0
1,119.00005674364888,0.3752800788461231,600.5125135786176,1.0,24h_half_life (r=0.5),0.03454579810511642,3.4545798105116416
2,178.50008511547333,0.4115049529324648,578.3898449922658,1.0,24h_half_life (r=0.5),0.07011278940150192,7.011278940150192
3,208.25009930138555,0.4231758490461164,557.0804225107998,1.0,24h_half_life (r=0.5),0.10437231107588449,10.437231107588449
4,223.12510639434169,0.4280316967637989,536.919996062467,1.0,24h_half_life (r=0.5),0.1367845722468376,13.67845722468376
5,230.56260994081973,0.4302613785722381,517.9819877261275,1.0,24h_half_life (r=0.5),0.16723153098693327,16.723153098693327
6,234.28136171405876,0.4313313166804981,500.25093949438246,1.0,24h_half_life (r=0.5),0.19573803939809895,19.573803939809896
7,236.14073760067825,0.4318555840160406,483.6772684401018,1.0,24h_half_life (r=0.5),0.22238381279726402,22.2383812797264
8,237.070425543988,0.432115104487007,468.1986271401447,1.0,24h_half_life (r=0.5),0.24726908819912427,24.726908819912428
9,237.53526951564288,0.4322442190088421,453.7491514071584,1.0,24h_half_life (r=0.5),0.27049975658013115,27.049975658013114
10,237.76769150147032,0.4323086157777555,440.2636266592133,1.0,24h_half_life (r=0.5),0.2921806645350269,29.21806645350269
11,237.88390249438405,0.432340774155535,427.6793458625357,1.0,24h_half_life (r=0.5),0.31241262723065005,31.241262723065006
12,237.9420079908409,0.4323568433572508,415.9368766269805,1.0,24h_half_life (r=0.5),0.3312911951334718,33.129119513347185
13,237.97106073906932,0.4323648754631243,404.98030553221145,1.0,24h_half_life (r=0.5),0.3489062612022324,34.89062612022324
14,237.9855871131836,0.4323688908925409,394.75723331442936,1.0,24h_half_life (r=0.5),0.36534206862631935,36.53420686263193
15,237.99285030024063,0.4323708984513973,385.2186547131769,1.0,24h_half_life (r=0.5),0.3806774039981079,38.06774039981079
16,237.9964818937692,0.4323719021918662,376.3187887144729,1.0,24h_half_life (r=0.5),0.3949858702339664,39.498587023396645
17,237.9982976905335,0.4323724040523612,368.0148913822988,1.0,24h_half_life (r=0.5),0.4083361874882656,40.83361874882656
18,237.99920558891563,0.4323726549801739,360.267066845622,1.0,24h_half_life (r=0.5),0.420792497032762,42.0792497032762
19,237.9996595381067,0.4323727804434715,353.038083756587,1.0,24h_half_life (r=0.5),0.43241465633989223,43.24146563398922
20,237.99988651270223,0.4323728431749682,346.293200447426,1.0,24h_half_life (r=0.5),0.44325852018098716,44.325852018098715
21,238.0,0.4323728745406785,340.0,1.0,24h_half_life (r=0.5),0.4533762057877814,45.337620578778136
0,0.0,0.0,622.0,0.1,36h_half_life (r=0.63),0.0,0.0
1,7.030429668391945,0.0720857789758661,617.189860443905,0.1,36h_half_life (r=0.63),0.007733343337773327,0.7733343337773326
2,11.45960035947887,0.1078915259459563,610.312595811057,0.1,36h_half_life (r=0.63),0.01879003888897587,1.879003888897587
3,14.249977894863632,0.1275897544350518,602.5814577093694,0.1,36h_half_life (r=0.63),0.031219521367573354,3.1219521367573355
4,16.007915742156033,0.1390382770027506,594.6041138326566,0.1,36h_half_life (r=0.63),0.044044833066468496,4.404483306646849
5,17.115416585950246,0.1459053576592441,586.7027622817063,0.1,36h_half_life (r=0.63),0.05674797060818918,5.674797060818918
6,17.813142117540597,0.1501025676585099,579.0504691957741,0.1,36h_half_life (r=0.63),0.06905069261129566,6.905069261129566
7,18.25270920244252,0.1526974759063996,571.737474259047,0.1,36h_half_life (r=0.63),0.08080791919767369,8.08079191976737
8,18.529636465930736,0.1543131396373219,564.8063987135022,0.1,36h_half_life (r=0.63),0.09195112747025373,9.195112747025373
9,18.704100641928303,0.1553235258508117,558.2720555156739,0.1,36h_half_life (r=0.63),0.10245650238637644,10.245650238637644
10,18.814013072806777,0.1559571266793065,552.133018820659,0.1,36h_half_life (r=0.63),0.1123263363011913,11.23263363011913
11,18.883257904260216,0.1563551340341705,546.3785368148549,0.1,36h_half_life (r=0.63),0.12157791508865773,12.157791508865772
12,18.92688214807588,0.1566054194664273,540.9927142089645,0.1,36h_half_life (r=0.63),0.13023679387626294,13.023679387626293
13,18.954365421679743,0.1567629174466152,535.9570545065449,0.1,36h_half_life (r=0.63),0.13833270979655166,13.833270979655165
14,18.971679884050182,0.1568620691044612,531.2520016786276,0.1,36h_half_life (r=0.63),0.14589710341056655,14.589710341056655
15,18.982587995343565,0.156924506070282,526.8578658696648,0.1,36h_half_life (r=0.63),0.1529616304346225,15.296163043462249
16,18.98946010545839,0.1569638300223464,522.7553681821014,0.1,36h_half_life (r=0.63),0.15955728588086593,15.955728588086593
17,18.99378953483073,0.1569885996143411,518.9259496666708,0.1,36h_half_life (r=0.63),0.1657139072883106,16.57139072883106
18,18.996517075335305,0.1570042026725216,515.3519346925716,0.1,36h_half_life (r=0.63),0.17145991206982059,17.14599120698206
19,18.99823542585319,0.1570140318908984,512.016604925448,0.1,36h_half_life (r=0.63),0.17682217857645025,17.682217857645025
20,18.99931798667945,0.1570202240173858,508.9042190268767,0.1,36h_half_life (r=0.63),0.18182601442624322,18.18260144262432
21,19.0,0.1570241249455146,506.0,0.1,36h_half_life (r=0.63),0.1864951768488746,18.64951768488746
0,0.0,0.0,622.0,0.3,36h_half_life (r=0.63),0.0,0.0
1,31.451922200700807,0.2162859505480021,611.4448757905925,0.3,36h_half_life (r=0.63),0.01696965306978697,1.696965306978697
2,51.26663318714232,0.2782085656057562,598.574667178489,0.3,36h_half_life (r=0.63),0.03766130678699519,3.766130678699519
3,63.74990110860046,0.3053839306523274,585.2401336545942,0.3,36h_half_life (r=0.63),0.05909946357782289,5.909946357782289
4,71.61435989911911,0.3194571255185345,572.1117779771245,0.3,36h_half_life (r=0.63),0.08020614473131116,8.020614473131115
5,76.56896893714584,0.3273703433376073,559.4764104452051,0.3,36h_half_life (r=0.63),0.10052024044179236,10.052024044179236
6,79.69037263110269,0.3320267230266047,547.4599563870655,0.3,36h_half_life (r=0.63),0.11983929841307794,11.983929841307795
7,81.65685695829549,0.3348402259290545,536.1109045571476,0.3,36h_half_life (r=0.63),0.13808536244831576,13.808536244831576
8,82.89574208442697,0.3365674977410196,525.4375709593244,0.3,36h_half_life (r=0.63),0.15524506276635952,15.524506276635952
9,83.6762397138898,0.3376382914398502,515.4267420194473,0.3,36h_half_life (r=0.63),0.17133964305555102,17.133964305555104
10,84.16795322045138,0.3383061269430464,506.0537168314369,0.3,36h_half_life (r=0.63),0.186408815383542,18.6408815383542
11,84.47773272958517,0.3387242118653272,497.28797184143616,0.3,36h_half_life (r=0.63),0.20050165298804476,20.050165298804476
12,84.67289382033947,0.3389865612420282,489.0964394721984,0.3,36h_half_life (r=0.63),0.21367131917652987,21.367131917652987
13,84.79584530751467,0.339151428977228,481.44542369307646,0.3,36h_half_life (r=0.63),0.22597198763170986,22.597198763170987
14,84.87330474443505,0.3392551324873899,474.30171264377066,0.3,36h_half_life (r=0.63),0.23745705362737837,23.745705362737837
15,84.92210418969488,0.3393204010658441,467.63320933453247,0.3,36h_half_life (r=0.63),0.24817812004094458,24.81781200409446
16,84.95284784020859,0.339361494649003,461.4092703057176,0.3,36h_half_life (r=0.63),0.2581844528846984,25.81844528846984
17,84.9722163400322,0.3393873734451901,455.60086692501625,0.3,36h_half_life (r=0.63),0.2675227219855044,26.752272198550443
18,84.9844184949211,0.3394036730557747,450.1806394938011,0.3,36h_half_life (r=0.63),0.27623691399710437,27.623691399710438
19,84.9921058525011,0.3394139402110256,445.1228874241127,0.3,36h_half_life (r=0.63),0.2843683481927448,28.43683481927448
20,84.9969488877765,0.3394204078841479,440.4035222465726,0.3,36h_half_life (r=0.63),0.29195575201515656,29.195575201515656
21,85.0,0.339424482266339,436.0000000000001,0.3,36h_half_life (r=0.63),0.29903536977491946,29.903536977491946
0,0.0,0.0,622.0,1.0,36h_half_life (r=0.63),0.0,0.0
1,88.06538216196226,0.3434218704034469,602.2401664079084,1.0,36h_half_life (r=0.63),0.03176822120915045,3.176822120915045
2,143.5465729239985,0.3930291173982014,580.949284224077,1.0,36h_half_life (r=0.63),0.06599793533106589,6.599793533106589
3,178.49972310408128,0.411504791815617,560.0211339735523,1.0,36h_half_life (r=0.63),0.09964447914219886,9.964447914219885
4,200.52020771753348,0.4204179592781257,539.9816328333792,1.0,36h_half_life (r=0.63),0.1318623266344386,13.186232663443858
5,214.39311302400836,0.4252493042339857,521.0061308436331,1.0,36h_half_life (r=0.63),0.16236956456007548,16.236956456007547
6,223.1330433670875,0.4280341426803313,503.1411272107615,1.0,36h_half_life (r=0.63),0.19109143535247344,19.109143535247345
7,228.63919948322737,0.4296964789405652,486.3768417977109,1.0,36h_half_life (r=0.63),0.2180436627046449,21.804366270464488
8,232.10807783639552,0.4307095482263491,470.676920370494,1.0,36h_half_life (r=0.63),0.24328469393811258,24.328469393811258
9,234.29347119889144,0.4313347538259747,455.992402587217,1.0,36h_half_life (r=0.63),0.2668932434289116,26.689324342891158
10,235.67026901726388,0.431723593123091,442.26888996568016,1.0,36h_half_life (r=0.63),0.28895676854392255,28.895676854392256
11,236.53765164283848,0.4319665931458029,429.4504181763014,1.0,36h_half_life (r=0.63),0.30956524408954755,30.956524408954756
12,237.08410269695048,0.4321189095630399,417.4815971021749,1.0,36h_half_life (r=0.63),0.3288077217006835,32.880772170068354
13,237.42836686104107,0.4322145637921899,406.30878840993154,1.0,36h_half_life (r=0.63),0.34677043663998147,34.67704366399815
14,237.64525328441812,0.4322747053353614,395.8807288632729,1.0,36h_half_life (r=0.63),0.3635358056860564,36.35358056860564
15,237.7818917311457,0.4323125467521092,386.14882794622673,1.0,36h_half_life (r=0.63),0.3791819486395069,37.91819486395069
16,237.86797395258404,0.43233636792022,377.0672726960802,1.0,36h_half_life (r=0.63),0.3937825197812216,39.37825197812216
17,237.92220575209015,0.432351367752432,368.5930189717473,1.0,36h_half_life (r=0.63),0.4074067219103741,40.740672191037405
18,237.95637178577908,0.4323608146703596,360.68571711081177,1.0,36h_half_life (r=0.63),0.42011942586686213,42.01194258668621
19,237.97789638700303,0.4323667650477968,353.3076012272508,1.0,36h_half_life (r=0.63),0.4319813485092431,43.198134850924305
20,237.9914568857742,0.4323705133170157,346.4233600243084,1.0,36h_half_life (r=0.63),0.4430492604110797,44.304926041107976
